Date,Clicks,Impressions,CTR,Position
2025-11-27,5,45,11.11%,4.87
2025-11-26,2,34,5.88%,4.74
2025-11-25,1,33,3.03%,6.55
2025-11-24,2,36,5.56%,5.17
2025-11-23,2,52,3.85%,8.02
2025-11-22,0,18,0%,6.39
2025-11-21,2,21,9.52%,4.43
2025-11-20,2,46,4.35%,6.61
2025-11-19,2,30,6.67%,4.83
2025-11-18,3,32,9.38%,7.19
2025-11-17,3,28,10.71%,4.43
2025-11-16,2,54,3.7%,5.52
2025-11-15,3,22,13.64%,9.73
2025-11-14,0,16,0%,4.19
2025-11-13,3,49,6.12%,5.22
2025-11-12,2,25,8%,5.44
2025-11-11,2,43,4.65%,5.95
2025-11-10,5,26,19.23%,6.08
2025-11-09,2,27,7.41%,3.96
2025-11-08,0,9,0%,4.78
2025-11-07,0,1,0%,2
2025-11-06,0,0,0%,0
